wallet_id,paid_total,power
0x95c2e2f7d94d08862cb535aa6e1a501bec02f595,6.31760,253.22 Mh/s
0xbe7da2e56d2139d871a65f9dc54ccc2bf718f052,4.29240,215.00 Mh/s
0xdb8522de3d2890e7065cd698b13c4e47c5e6eb31,0.35035,19.11 Mh/s
0xc6d58b776467dc19552958ba7e6fb37c3c32e0d7,1.24100,52.56 Mh/s
0x92a88cdeea6f0972fc159290fe2c605003693f02,0.80316,52.56 Mh/s
0xaa992d67c14063cff9ec5d9e15904028bc3cbfa3,2.12199,229.33 Mh/s
0x0d2d72df69fbe1b71c15d65a72501d097d6331de,0.00000,0.00000
0x71d8759bf1c0ed751d2970d5bd68262a604fceef,0,86.00 Mh/s
0x6559d0f9624209452b5bf83e0243a36e7ac91a2f,15.19111,960.33 Mh/s
0xd3da228fd55a58db1d9908e7c1a248a9af696753,1.08851,4.78 Mh/s
0xbebe97abfe7da25421b1a3ea1673c72f8344dea0,1.71084,172.00 Mh/s
0x042cb2cecbccf4120b7151138cf010c0572f6dce,0.50248,114.67 Mh/s
0x450c4168f39805f1d5d46388f0dd38e1bc51ac95,4.08241,186.33 Mh/s
0x40004cc46ec2a4138965b9cf1848ca3a798b3510,1.61765,100.33 Mh/s
0x54194e5e2b4bfce81e5d386e9d9bf7c2e91cd28b,0,14.33 Mh/s
0xbc0993f72a84382bcef691331f070984eb37b523,24.95137,2.31 Gh/s
0x8dc204cf02504092f66c76480df23fe92af37ffa,4.88929,200.67 Mh/s
0xc78a6669cd8189b27ff2f8281cc9a2328f52f1b8,8.41941,372.67 Mh/s
0x359d01af789cfc57907e838724e796cbd486ba10,478.56329,29.69 Gh/s
0xd71fa3e7873f2b5317d3fd687a4667cf1dbf29d2,0.87258,1.09 Gh/s
0x61c71eede6f99b6ecbb88732a985017fc9025865,1.30643,0.00 h/s
0xd455c418549fc868c3ab88d5f3570dedd4ad2b1d,12.05480,487.33 Mh/s
0x58c8846fcf38c703ff2673ad30565fd4e3182dda,3.68743,219.78 Mh/s
0x0e26eccbb4cd1381784e95bfb082c41bb3643b38,0.00000,0.00000
0x7f83893a617635c6223b2dd4d9224e7482687c7a,0.00000,0.00000
0xac25adb70e481a04125c355e949d79bcdc49d61f,0.00000,0.00000
0x68544b001d9309d3128bf9a9b13a2baf84f999d7,0.00000,124.22 Mh/s
0xa037758dc0c7b94809ee9c2d20b289ead1a09bc7,0.00000,0.00000
0xceb309ce43f5c1dcdd6dbeab686755d44e93feee,6.91873,281.89 Mh/s
0xedaf727f3e07ce411cba610c3c199b65cc2c3173,0.00000,0.00000
0x02115b738002f211640d77dfba92d71f56bdad14,0.80164,28.67 Mh/s
0xcaec8ef26e2f799ccfbeb0cb54dbfb9e0967d1ff,1.47832,19.11 Mh/s
0x9a25d22b603f0488691d89490bd1165df133c85d,4.43920,219.78 Mh/s
0x10d1c5d5e8a0273d00f82da6903e81590b78ed28,5.27981,324.89 Mh/s
0xb09f40b19bd33900c7090e6af454b643bb224001,2.06006,81.22 Mh/s
0x9fbf23aad5b52774879f3d92da2466c3f01d9b90,0.00000,0.00000
0x3805ea545b204eda44b79acb0311f969a66c8e4b,2.90607,487.33 Mh/s
0xbd70c3c95c99860b9f4437902feacc8a015d3351,0.00000,0.00000
0xbc69d56b254c4c0a6bda518d1fa92d0b4c90b52c,0.45099,47.78 Mh/s
0x61cf40d138cba687730a1fcd2f17833f4f20711b,0.55218,71.67 Mh/s
0x6a7d65af7ffb6feb4c4f543c891b7fd74b7e5ab9,0.00000,0.00000
0xbc312385962238d56f2ab428775d208c5873e498,0.00000,0.00000
0x89515c4f09e258a6eb4e5c9b63233e318492a7bf,0.00000,109.89 Mh/s
0xb54114e31b0aee7d62476511bd805644c92f7587,7.59958,324.89 Mh/s
0x4b51337524d2b4da7dce99a5c17ebe3bdd07d74c,0.96577,344.00 Mh/s
0x96adfca55ded73b3c2de59c97661b105429e6f3b,85.45968,2.20 Gh/s
0xc6b95f873d4b3892339327477f1cccaed643e7be,0.00000,0.00000
0xc99037a7e10dc2dbbd9950846b6adcc22ffeb432,7.31416,172.00 Mh/s
0x46a9cfaf40f36c0b6a7e5c7fc54d0c8fb7ccbcde,1.05493,57.33 Mh/s
0x6f7fe50d8df5ddf8cc9bf0d1ae6cb8a6b1704f41,0.90549,119.44 Mh/s
0x025930e25b982a5fbb30db2d52f12e4117ceb78c,1.96490,148.11 Mh/s
0x61dcf83b375ffda44f91d51569b3b8695f860a2c,0.75361,76.44 Mh/s
0x0e01fd6280b006835c380d80eb146281124715aa,2.73994,14.33 Mh/s
0xb587eba335683d615e89eee72e5f91f8623aafd2,0.00000,0.00000
0x4e4d26deda434f064f9e657bd7a82c0ce3c04d73,0.00000,0.00000
0xd5725094b1e9e775c61d4293e5f34bb564291d3a,0.00000,0.00000
0xde92d41de1c895c1ecfa54d8af36a1ac5cec25ea,0.00000,0.00000
0x6351ef7093b9f261665026d6a28b976dc09d3e11,3.85360,181.56 Mh/s
0x39e7a0bd6ca0497ff911252d9dad3b80f183d12f,0.00000,0.00000
0x724efa5468be9b4c85f61f4b36fc640a21aec695,0.00000,0.00000
0xc120b67c0cc60552a96453657e503077eca6c73a,0,0.00 h/s
0x81fe3884b04fd261802bfe14f6131b01710868c1,9.24107,315.33 Mh/s
0x9d6d5b4f7e0094836fe7480db953627e5af9017e,2.55367,324.89 Mh/s
0x134d9e64813e8163c7378991ad01aa51e98eff9d,109.57350,3.18 Gh/s
0xb0cea2fa8e63d9888031ea4cccfa42b59a053b17,0.40047,33.44 Mh/s
0x5f4bbc8c6260dbdf951f9201703eb16c617a1c8a,13.20393,836.11 Mh/s
0x3b3d5d73b0d7c49f5b67681f619a162725b1b1b2,0.00000,358.33 Mh/s
0xe0c57a86d8fe99aa4845d25b36d3714f8705a605,0.00000,0.00000
0xc0e8631d45fee1f4dab5fd6ef8503efac8c9e0a2,28.94848,62.11 Mh/s
0x1090edb77a3698cb2704646d3bd307d5e0721916,24.53108,993.78 Mh/s
0xd759d3a3f7d14740bb3813d235a45040a33c5915,0.00000,0.00000
0x13f6b1467bc03f9a815c5b2a2f5d40d97efd56d7,3.37016,86.00 Mh/s
0x688dcfa2cbb4bb9d01ce46fddcafafd68fc2d20d,2.47934,219.78 Mh/s
0x73202cb043447d12433ae039b9c636be3ed3b9dd,25.57894,2.97 Gh/s
0x0a86bb846d2b54e3a541dd6be855e5d13e42f227,20.68734,888.67 Mh/s
0x459caf3ee7f8882de0b292b849bc420c7c16c8ff,7.67317,172.00 Mh/s
0x971940c8fbe47133aea74b8b00aa1d071624d3cc,0.00000,0.00000
0x7bce8bb51e2525c7120955d7f728c328219403c2,1.92059,90.78 Mh/s
0xb1be466bd8e5d8f55376958fee7cf424a1b955a4,3.23307,229.33 Mh/s
0xcd2ce33afd8c3120f06a282da8a8713fbd638192,0.05000,28.67 Mh/s
0x6335dde15073383771629f26f7bdd291cb2b4e18,0.15011,66.89 Mh/s
0x96d7b0b4fb32db998d94cc980926d0210e261c9e,3.85620,0.00 h/s
0xe4d12d3fe2488760fad6a34a8c0652a0f09abbfd,0.30309,559.00 Mh/s
0xad4eb192c503b2b4ac43610ec92e52c6cdf0c941,0.40077,62.11 Mh/s
0x41c3738ae9eee5168f381678c7b10262e81b3541,8.97742,1.25 Gh/s
0x71aa65b11a209355e6591185d857db3e5436c054,7.65698,267.56 Mh/s
0x87e91e2e7dfbdccbc1ce00ab0447f0e9b6a65304,0.45303,124.22 Mh/s
0x2b3a6b02db201d537d7d398352d08dc8ac92df3e,3.62241,124.22 Mh/s
0x382f5b8351fc1799d4c2d1b00dccc96844798759,0.00000,0.00000
0x31bc9db70961a50114debd8fd560105ddcde93da,0,86.00 Mh/s
0xb705c0a87131cbd8613e9f431dc0d3e159315c5b,0.00000,0.00000
0x28ad9408ed2c737ee58ffd2a9e5dd862ed5edb13,0.00000,0.00000
0xc3a612605a03c7b8aaea1ba5b6ccb16fdb902627,10.72890,797.89 Mh/s
0x6625c125c0fc4eefce0b1dde2ae9c9ae7fdb1514,3.22228,200.67 Mh/s
0x549c50735b53643a7476f7e80e7af81c69c53756,1.56760,100.33 Mh/s
0x613e7e7636c6b7915c337cd31412e5ee9a0bea1c,5.40903,281.89 Mh/s
0xab92c08fa2e345d87ab540d1aba33f4b56d588d0,0.35202,86.00 Mh/s
0x3cfa0796268dbe80f5a3b240cb566e649cd645fc,3.57885,90.78 Mh/s
0x65ee4c42c0aa9d676d160fff0cd41ed59d51ee47,4.94945,253.22 Mh/s
0x1b507c628b017c3986bed8900e0dacbf72c0bed5,1.30979,14.33 Mh/s
0x94a67541af301b7f885d549d78225cfb79b76ced,0.85328,0.00 h/s
0x7de0e1e0bfa709cc59673538749e2983707bbbd2,1.61403,229.33 Mh/s
0x9fd04b3f9d678b8fb34d40b90fb7d0c069ff59fc,0.00000,0.00000
0xac67f64480b8c62cd7b3554c2fef02831e2d85f6,1.00518,86.00 Mh/s
0x11904f1e08e81993d5cd3f71959f9def902b2c58,1.16607,410.89 Mh/s
0xdada1a2bda9f8d4969736077619a4d18f1964447,2.04091,133.78 Mh/s
0xc5ac6eb92ccb834ed3801c505cdd79e684decd50,23.58244,506.44 Mh/s
0xdc2f09954c1bc7255ad021189e4b1a03419b9b3c,0.75120,33.44 Mh/s
0x2ac02167c1c45d661a031076e5e44491416fd09f,2.47295,157.67 Mh/s
0xa4a9491e06bb9a646c82f2c40c318afd241239be,5.28724,157.67 Mh/s
0xef58550450a83f84e49ea2781f86544de7c35364,20.03567,955.56 Mh/s
0x4a731580139cb96676ffe363825c3aa3781e016d,0.00000,0.00000
0x4b7a7d8f558772b1567fff014e3af89e49e7bf9f,0.35125,90.78 Mh/s
0xcf51dcd736b03234eff5b81d3cb7931cc7d73f0c,8.70575,229.33 Mh/s
0xa775064e645d9442b7a812d5080144fd99d5c62f,0.20199,210.22 Mh/s
0xb670a191272d09aaf81de02fd5b5c900a6b774ce,1.10401,52.56 Mh/s
0x5202706dc13f60be6d6f9ffb8ac768eb794f4fc9,16.95547,1.05 Gh/s
0xbc69dc14f623b2ea465167c78936604638b16709,0.70175,66.89 Mh/s
0xa61025224dbb8d8452fea68d37636b3dbd1d1f4d,4.77719,238.89 Mh/s
0xcc816ee25dac47da61ae936392e2a2742ac90818,1.36707,248.44 Mh/s
0x3fc739835349e030ac667367910ed60d2e22a422,5.24047,1.27 Gh/s
0x621eb6134ea66bcf67482b55ae0504dc89bd8456,0.00000,0.00000
0x6c1a0012a1dfb8b65b481c3e397b52169e11fb21,0.00000,0.00000
0xe1d63bb49e3e11cacab1b6effb1ee6279ff6392e,0.00000,559.00 Mh/s
0x6edc1038c438b7653a378479061cfa5d3b7d7e10,13.49554,473.00 Mh/s
0x343a09be1bc032b81c96616ede5d69e6fa73129a,19.02903,582.89 Mh/s
0xded7fc2eae2ffaf022ccf031cf004cdc0db53bde,28.83785,1.93 Gh/s
0xeb81ff2d3f320c1941ae3fe9553653c9c94ecfea,2.16584,76.44 Mh/s
0x10f872ed100936d6c186bd6a29fa71e1320a279a,0.00000,186.33 Mh/s
0xaac877057849986bb4c850ec89e8aefadfa40213,4.32139,401.33 Mh/s
0x9133e158769861802de99638a39e6389e5c258ee,0.75364,191.11 Mh/s
0x56fd3e7cd691ce675e2c90576712c86ee496b51f,9.18989,344.00 Mh/s
0x6d64e7071fa3816d81cd4dba46db9a06f0a838f1,5.26994,310.56 Mh/s
0xad30f5de0c9becbffb11cdc756166974f7f1b1aa,0.00000,0.00000
0xec9a0323df0f49cc853434ff364c738b6ca82c11,4.50284,191.11 Mh/s
0xb0556023de83f901fa9f55fe015430f0c1a78feb,0.50370,172.00 Mh/s
0x9927bb56e9a4e1b4aaebcd88241cf2191408b6ca,0.00000,195.89 Mh/s
0x1afd1c640fe9f77f1cccd9f44373248e714b5fc5,4.34164,200.67 Mh/s
0x91d721854ccc19605a972d46b63439fd191f0798,0.40503,0.00 h/s
0xcef630261b127029afb9d0f1a2b57dfe81ba360d,5.65193,262.78 Mh/s
0x1e4c1b6a0e9985036c4c4b0fd36e52c134923b3b,2.21678,172.00 Mh/s
0x5a51b056c7594d062d9301ee5b58ea0740691365,28.86924,1.44 Gh/s
0x72e0d783a493b57550d0acd6385cc9bb0d7426a3,0.25213,305.78 Mh/s
0xec88a38cd1d1d241cbfe4a985ad1a2bf1a8180b6,5.18595,262.78 Mh/s
0x769d1159352a06b4e662579e683ba2d2f65b4800,0.35025,9.56 Mh/s
0x2ad9fb6d51a6082f5cba93f52002d5f479613bd0,2.51615,167.22 Mh/s
0xf42606a9d03a39029af129d2fad658b930b7ccdb,3.73713,191.11 Mh/s
0x5f68a24c7eb4117667737b33393fb3c2148a53b6,0.86520,592.44 Mh/s
0x30515c36e2f7776d9a5e6c4ed3112507f583521d,23.36730,993.78 Mh/s
0x1ddc9b0bf11de8f6c672c7f70c91ac13f5330c6f,3.77394,200.67 Mh/s
0xee21a8e96076492dafc908a008aaa79667dc954f,2.08244,138.56 Mh/s
0xab6746d8550d81fb28ff41db46664083189cd5d5,0,9.56 Mh/s
0x4e4ee2dc25811b252d73dc3436703b4a3591dd11,4.13054,234.11 Mh/s
0xb554315743167136847f59d0e5dad7149ef9e588,0.24131,9.56 Mh/s
0xe496456bb9b23473704068202a0c4633b3084d7f,2.54763,0.00 h/s
0xb80caf51d39b8d67f7c8ced109f10a52157289a2,0.42042,19.11 Mh/s
0xc20398f4de91e67624d24e661376bd55e5b65a4d,0.30038,23.89 Mh/s
0x5b30b3d89f373e429f4c154b4d565aca760daca7,1.15993,372.67 Mh/s
0x0f8c6d0e669e00f0491e8e1a985786be1648d5df,9.47902,353.56 Mh/s
0x40ff320a75bd82f83c58045e0d4163734bbdfbda,0.00000,0.00000
0xa274329f57e7c59bb832d8fb168b54d82a174c36,18.77229,936.44 Mh/s
0x3cbc63258731406c67a19fb30de07005bf9072f6,0.00000,0.00000
0xa3dcf8a07ae7d43b7917e263108858f03f5f8c19,0.00000,0.00000
0x3fa0354f8b2da1d67871bee48de7b084736518bb,0.00000,0.00000
0x75d5e8946f83704498015be3cf0fb5f247b8006f,0.00000,0.00000
0xcda98e7ee4f43235755c30e2d7ffc611f445a2f8,0.00000,0.00000
0xafc4141e1d80383e4aec942b7f63c3de74abf6f6,0.00000,0.00000
